,Data,Horário,Camp.,Rodada,Dia,Local,Resultado,GP,GC_x,Oponente,xG,xGA,Posse,Público,Capitão,Formação,Árbitro,Relatório da Partida,Notas,TC,CaG,Dist,FK,PB,PT_x,CaGC,GC_y,GC_y,Defesas,PT_y,GPC,Time
47,2023-11-29,21:30,Série A,Rodada da semana 36,qua,Visitante,E,1,1,Coritiba,2.0,1.7,53,,Víctor Cuesta,3-4-3,Rodrigo José Pereira de Lima,Relatório da Partida,,23,5,193.0,1.0,1,1,2,1.0,1,1,0,0,Botafogo RJ
48,2023-12-03,18:30,Série A,Rodada da semana 37,dom,Em casa,E,0,0,Cruzeiro,1.0,0.9,60,,Víctor Cuesta,3-4-3,Wilton Pereira Sampaio,Relatório da Partida,,16,2,231.0,0.0,0,0,3,0.0,0,3,0,0,Botafogo RJ
49,2023-12-06,21:30,Série A,Rodada da semana 38,qua,Visitante,D,1,3,Internacional,0.4,1.2,47,27.365,Víctor Cuesta,4-2-3-1,Flavio de Souza,Relatório da Partida,,9,5,192.0,1.0,0,0,3,3.0,3,0,0,0,Botafogo RJ
1,2023-04-15,18:30,Série A,Rodada da semana 1,sáb,Em casa,V,2,1,Bahia,2.0,0.7,55,3.368,Aderlan Silva,4-2-3-1,Maguielson Lima Barbosa,Relatório da Partida,,13,7,208.0,1.0,0,0,3,1,1,2,0,0,Bragantino
3,2023-04-22,17:30,Série A,Rodada da semana 2,sáb,Visitante,E,1,1,Cuiabá,0.9,1.2,66,9.267,Aderlan Silva,4-3-3,Caio Max Augusto Vieira,Relatório da Partida,,7,2,199.0,1.0,0,0,3,1,1,2,0,0,Bragantino
4,2023-04-29,18:30,Série A,Rodada da semana 3,sáb,Em casa,D,0,3,Cruzeiro,1.5,2.0,46,4.829,Aderlan Silva,4-2-3-1,Braulio da Silva Machado,Relatório da Partida,,12,5,169.0,0.0,0,0,5,3,3,2,0,0,Bragantino
6,2023-05-07,18:30,Série A,Rodada da semana 4,dom,Visitante,E,3,3,Grêmio,1.8,1.7,58,23.76,Juninho Capixaba,4-3-3,Paulo Cesar Zanovelli da Silva,Relatório da Partida,,21,7,180.0,0.0,0,0,3,3,3,0,1,1,Bragantino
7,2023-05-10,19:00,Série A,Rodada da semana 5,qua,Em casa,E,2,2,América (MG),1.7,2.0,62,2.909,Cleiton Schwengber,4-3-3,Rafael Rodrigo Klein,Relatório da Partida,,20,9,192.0,1.0,0,0,3,2,2,1,2,2,Bragantino
8,2023-05-13,18:30,Série A,Rodada da semana 6,sáb,Visitante,E,1,1,Palmeiras,1.0,1.6,42,39.488,Cleiton Schwengber,4-3-3,Savio Pereira,Relatório da Partida,,8,3,215.0,0.0,0,0,6,1,1,5,0,0,Bragantino
9,2023-05-20,18:30,Série A,Rodada da semana 7,sáb,Em casa,V,2,0,Ath Paranaense,1.7,1.1,60,3.769,Cleiton Schwengber,4-2-3-1,Felipe Fernandes de Lima,Relatório da Partida,,13,4,169.0,0.0,0,0,4,0,0,4,0,0,Bragantino
11,2023-05-28,18:30,Série A,Rodada da semana 8,dom,Em casa,V,2,0,Santos,1.5,0.3,59,5.988,Cleiton Schwengber,4-3-3,Anderson Daronco,Relatório da Partida,,19,9,192.0,0.0,0,0,1,0,0,1,0,0,Bragantino
12,2023-06-04,16:00,Série A,Rodada da semana 9,dom,Visitante,D,1,2,Fluminense,0.6,1.1,49,27.228,Cleiton Schwengber,4-3-3,Rodrigo José Pereira de Lima,Relatório da Partida,,15,3,229.0,1.0,0,0,4,2,2,2,0,0,Bragantino
14,2023-06-10,18:30,Série A,Rodada da semana 10,sáb,Visitante,E,1,1,Atlético Mineiro,0.5,1.7,39,28.786,Cleiton Schwengber,4-3-3,Rafael Rodrigo Klein,Relatório da Partida,,7,3,200.0,0.0,0,0,6,1,1,5,0,0,Bragantino
15,2023-06-22,21:30,Série A,Rodada da semana 11,qui,Em casa,V,4,0,Flamengo,3.3,0.8,59,10.103,Lucas Evangelista,3-2-4-1,Anderson Daronco,Relatório da Partida,,36,13,182.0,0.0,0,0,0,0,0,0,0,0,Bragantino
16,2023-06-25,18:30,Série A,Rodada da semana 12,dom,Em casa,V,2,0,Goiás,1.7,0.2,59,3.798,Cleiton Schwengber,3-2-4-1,Bruno Mota Correia,Relatório da Partida,,20,6,194.0,2.0,0,0,0,0,0,0,0,0,Bragantino
18,2023-07-02,11:00,Série A,Rodada da semana 13,dom,Visitante,V,1,0,Corinthians,0.9,0.6,58,42.404,Cleiton Schwengber,4-1-2-1-2◆,Edina Alves Batista,Relatório da Partida,,10,5,205.0,0.0,0,0,4,0,0,4,0,0,Bragantino
19,2023-07-09,16:00,Série A,Rodada da semana 14,dom,Em casa,E,0,0,São Paulo,1.6,0.5,58,,Cleiton Schwengber,4-3-3,Raphael Claus,Relatório da Partida,,26,4,213.0,2.0,0,0,1,0,0,1,0,0,Bragantino
20,2023-07-15,21:00,Série A,Rodada da semana 15,sáb,Visitante,D,0,2,Botafogo (RJ),1.4,1.0,62,37.036,Cleiton Schwengber,4-2-2-2,Anderson Daronco,Relatório da Partida,,17,8,222.0,2.0,0,0,3,2,2,1,0,0,Bragantino
21,2023-07-23,16:00,Série A,Rodada da semana 16,dom,Em casa,E,0,0,Internacional,1.0,0.9,54,,Cleiton Schwengber,4-3-3,Maguielson Lima Barbosa,Relatório da Partida,,20,4,183.0,2.0,0,0,5,0,0,5,0,0,Bragantino
22,2023-07-29,18:30,Série A,Rodada da semana 17,sáb,Visitante,V,3,0,Fortaleza,2.1,1.0,53,,Leo Ortiz,3-5-2,André Luiz Skettino Policarpo Bento,Relatório da Partida,,22,11,151.0,0.0,0,0,2,0,0,2,0,0,Bragantino
24,2023-08-06,18:30,Série A,Rodada da semana 18,dom,Visitante,V,1,0,Coritiba,1.0,0.5,50,,Cleiton Schwengber,4-3-3,Yuri Elino Ferreira da Cruz,Relatório da Partida,,11,2,177.0,1.0,0,0,1,0,0,1,0,0,Bragantino
26,2023-08-14,21:00,Série A,Rodada da semana 19,seg,Em casa,E,1,1,Vasco da Gama,1.6,1.5,64,5.553,Leo Ortiz,4-3-3,Anderson Daronco,Relatório da Partida,,24,7,192.0,2.0,0,0,4,1,1,3,1,1,Bragantino
27,2023-08-20,16:00,Série A,Rodada da semana 20,dom,Visitante,D,0,4,Bahia,0.7,1.8,53,,Leo Ortiz,4-2-3-1,Arthur Gomes Rabelo,Relatório da Partida,,11,7,207.0,1.0,0,0,5,4,4,1,0,0,Bragantino
28,2023-08-27,11:00,Série A,Rodada da semana 21,dom,Em casa,V,2,0,Cuiabá,1.5,0.5,63,3.683,Leo Ortiz,4-2-3-1,Bruno Mota Correia,Relatório da Partida,,11,4,215.0,0.0,0,0,3,0,0,3,0,0,Bragantino
29,2023-09-03,18:30,Série A,Rodada da semana 22,dom,Visitante,E,0,0,Cruzeiro,1.2,1.2,50,,Leo Ortiz,4-2-3-1,Wagner do Nascimento Magalhães,Relatório da Partida,,13,5,186.0,0.0,0,0,3,0,0,3,0,0,Bragantino
30,2023-09-14,21:30,Série A,Rodada da semana 23,qui,Em casa,V,2,0,Grêmio,1.3,1.3,58,5.088,Leo Ortiz,4-2-3-1,André Luiz Skettino Policarpo Bento,Relatório da Partida,,16,4,200.0,0.0,0,0,4,0,0,4,0,0,Bragantino
31,2023-09-19,21:30,Série A,Rodada da semana 24,ter,Visitante,V,2,0,América (MG),1.8,1.2,63,,Cleiton Schwengber,4-2-3-1,Marcelo de Lima Henrique,Relatório da Partida,,21,6,211.0,0.0,0,0,2,0,0,1,1,0,Bragantino
32,2023-10-01,18:30,Série A,Rodada da semana 25,dom,Em casa,V,2,1,Palmeiras,2.9,1.5,66,,Leo Ortiz,4-2-3-1,Wagner do Nascimento Magalhães,Relatório da Partida,,21,7,168.0,0.0,1,1,3,1,1,2,0,0,Bragantino
33,2023-10-08,18:30,Série A,Rodada da semana 26,dom,Visitante,E,1,1,Ath Paranaense,0.6,1.7,56,,Leo Ortiz,4-2-3-1,Yuri Elino Ferreira da Cruz,Relatório da Partida,,12,3,203.0,0.0,0,0,5,1,1,4,0,0,Bragantino
34,2023-10-19,20:00,Série A,Rodada da semana 27,qui,Visitante,V,3,1,Santos,2.4,1.8,61,12.85,Leo Ortiz,4-3-3,Raphael Claus,Relatório da Partida,,14,8,188.0,2.0,1,1,6,1,1,6,0,0,Bragantino
35,2023-10-22,18:30,Série A,Rodada da semana 28,dom,Em casa,V,1,0,Fluminense,2.2,0.5,42,,Leo Ortiz,4-2-3-1,Wilton Pereira Sampaio,Relatório da Partida,,20,1,224.0,2.0,1,1,5,0,0,5,0,0,Bragantino
36,2023-10-25,19:00,Série A,Rodada da semana 29,qua,Em casa,D,1,2,Atlético Mineiro,1.9,1.4,58,5.494,Leo Ortiz,4-3-3,Marcelo de Lima Henrique,Relatório da Partida,,13,3,134.0,0.0,0,0,4,2,2,2,1,1,Bragantino
37,2023-11-02,18:00,Série A,Rodada da semana 31,qui,Visitante,V,2,0,Goiás,3.1,1.4,57,,Leo Ortiz,4-2-3-1,Rodrigo José Pereira de Lima,Relatório da Partida,,23,7,206.0,2.0,0,0,5,0,0,5,0,0,Bragantino
38,2023-11-05,16:00,Série A,Rodada da semana 32,dom,Em casa,V,1,0,Corinthians,1.1,0.3,54,,Leo Ortiz,4-2-3-1,Raphael Claus,Relatório da Partida,,19,6,199.0,0.0,0,0,2,0,0,2,0,0,Bragantino
39,2023-11-08,20:00,Série A,Rodada da semana 33,qua,Visitante,D,0,1,São Paulo,0.5,2.0,43,,Leo Ortiz,4-2-3-1,Flavio de Souza,Relatório da Partida,,10,3,215.0,1.0,0,0,5,1,1,4,1,1,Bragantino
40,2023-11-12,16:00,Série A,Rodada da semana 34,dom,Em casa,E,2,2,Botafogo (RJ),2.9,0.8,65,,Leo Ortiz,4-2-3-1,Anderson Daronco,Relatório da Partida,,25,7,196.0,1.0,0,0,4,2,2,2,0,0,Bragantino
41,2023-11-23,21:30,Série A,Rodada da semana 30,qui,Visitante,D,0,1,Flamengo,1.3,1.1,47,,Leo Ortiz,4-2-3-1,Braulio Machado,Relatório da Partida,,19,3,190.0,2.0,0,0,4,1,1,3,0,0,Bragantino
42,2023-11-26,18:30,Série A,Rodada da semana 35,dom,Visitante,D,0,1,Internacional,0.5,1.1,66,,Leo Ortiz,4-2-3-1,Felipe Fernandes de Lima,Relatório da Partida,,13,5,205.0,0.0,0,0,2,1,1,1,1,1,Bragantino
43,2023-11-30,20:30,Série A,Rodada da semana 36,qui,Em casa,D,1,2,Fortaleza,1.5,0.7,73,4.516,Cleiton Schwengber,4-2-3-1,Denis da Silva Ribeiro Serafim,Relatório da Partida,,17,6,167.0,0.0,0,0,4,2,2,2,0,0,Bragantino
44,2023-12-03,18:30,Série A,Rodada da semana 37,dom,Em casa,V,1,0,Coritiba,2.1,0.3,64,,Leo Ortiz,4-3-3,Dyorgines José Padovani Andrade,Relatório da Partida,,27,9,191.0,1.0,0,0,0,0,0,0,0,0,Bragantino
45,2023-12-06,21:30,Série A,Rodada da semana 38,qua,Visitante,D,1,2,Vasco da Gama,0.8,1.6,55,,Leo Ortiz,4-3-3,Wilton Pereira Sampaio,Relatório da Partida,,9,2,179.0,0.0,0,0,6,2,2,4,0,0,Bragantino
1,2023-04-15,16:00,Série A,Rodada da semana 1,sáb,Visitante,V,3,0,América (MG),3.1,1.1,54,6.653,Nino,4-2-2-2,Braulio da Silva Machado,Relatório da Partida,,14,7,186.0,1.0,0,1,2,0.0,0,2,0,0,Fluminense
3,2023-04-22,16:00,Série A,Rodada da semana 2,sáb,Em casa,V,2,0,Ath Paranaense,0.8,0.6,62,38.598,Nino,4-2-3-1,Paulo Cesar Zanovelli da Silva,Relatório da Partida,,14,4,210.0,0.0,0,0,1,0.0,0,1,0,0,Fluminense
4,2023-04-29,16:30,Série A,Rodada da semana 3,sáb,Visitante,D,2,4,Fortaleza,1.5,5.3,69,39.943,Nino,4-2-3-1,Raphael Claus,Relatório da Partida,,12,3,168.0,0.0,0,0,17,4.0,4,13,0,0,Fluminense
6,2023-05-06,21:00,Série A,Rodada da semana 4,sáb,Em casa,E,1,1,Vasco da Gama,1.8,0.7,79,39.85,Nino,4-2-3-1,Wilton Sampaio,Relatório da Partida,,23,9,210.0,2.0,0,0,1,1.0,1,0,0,0,Fluminense
7,2023-05-10,21:30,Série A,Rodada da semana 5,qua,Visitante,V,2,0,Cruzeiro,1.2,2.1,52,51.846,Nino,4-2-3-1,Flavio de Souza,Relatório da Partida,,11,6,155.0,0.0,0,0,5,0.0,0,5,1,0,Fluminense
8,2023-05-13,18:30,Série A,Rodada da semana 6,sáb,Em casa,V,2,0,Cuiabá,0.9,0.9,61,39.04,Nino,4-2-3-1,Edina Alves Batista,Relatório da Partida,,7,2,129.0,0.0,0,0,2,0.0,0,2,0,0,Fluminense
9,2023-05-20,18:30,Série A,Rodada da semana 7,sáb,Visitante,D,0,1,Botafogo (RJ),0.9,1.4,65,24.732,Nino,4-2-3-1,Braulio da Silva Machado,Relatório da Partida,,3,0,98.0,0.0,0,0,7,1.0,1,6,0,0,Fluminense
11,2023-05-28,16:00,Série A,Rodada da semana 8,dom,Visitante,D,0,2,Corinthians,1.3,1.4,70,34.624,Nino,4-2-3-1,Leandro Pedro Vuaden,Relatório da Partida,,22,7,221.0,0.0,0,0,4,2.0,2,2,0,0,Fluminense
12,2023-06-04,16:00,Série A,Rodada da semana 9,dom,Em casa,V,2,1,Bragantino,1.1,0.6,51,27.228,Nino,4-2-3-1,Rodrigo José Pereira de Lima,Relatório da Partida,,12,4,228.0,0.0,0,0,3,1.0,1,2,0,0,Fluminense
14,2023-06-11,18:30,Série A,Rodada da semana 10,dom,Visitante,E,2,2,Goiás,1.3,2.1,59,10.26,Nino,4-2-2-2,Leandro Pedro Vuaden,Relatório da Partida,,13,4,170.0,0.0,0,0,9,2.0,2,7,1,1,Fluminense
15,2023-06-21,21:30,Série A,Rodada da semana 11,qua,Em casa,E,1,1,Atlético Mineiro,0.4,1.4,49,7.788,Nino,4-2-3-1,Ramon Abatti Abel,Relatório da Partida,,9,4,208.0,0.0,0,0,6,1.0,1,6,0,0,Fluminense
16,2023-06-24,18:30,Série A,Rodada da semana 12,sáb,Em casa,V,2,1,Bahia,3.0,1.0,49,24.507,Nino,4-2-3-1,Savio Pereira,Relatório da Partida,,17,9,154.0,1.0,0,0,3,1.0,1,2,0,0,Fluminense
18,2023-07-01,16:00,Série A,Rodada da semana 13,sáb,Visitante,D,0,1,São Paulo,0.2,1.1,46,49.153,Felipe Melo,4-2-3-1,Anderson Daronco,Relatório da Partida,,4,2,220.0,0.0,0,0,4,1.0,1,3,0,0,Fluminense
19,2023-07-09,16:00,Série A,Rodada da semana 14,dom,Em casa,V,2,0,Internacional,1.1,0.4,55,,Nino,4-4-2,Luiz Flávio de Oliveira,Relatório da Partida,,14,8,213.0,1.0,0,0,0,0.0,0,0,0,0,Fluminense
20,2023-07-16,16:00,Série A,Rodada da semana 15,dom,Em casa,E,0,0,Flamengo,1.5,0.4,54,62.354,Nino,4-2-3-1,Savio Pereira,Relatório da Partida,,16,8,141.0,1.0,0,0,3,0.0,0,3,0,0,Fluminense
21,2023-07-24,19:00,Série A,Rodada da semana 16,seg,Visitante,D,0,2,Coritiba,1.0,1.9,72,,Nino,4-3-3,Flavio Rodrigues de Souza,Relatório da Partida,,15,3,165.0,0.0,0,0,5,2.0,2,3,1,1,Fluminense
22,2023-07-29,16:00,Série A,Rodada da semana 17,sáb,Em casa,V,1,0,Santos,2.0,0.1,71,,Nino,4-2-3-1,Rodrigo José Pereira de Lima,Relatório da Partida,,14,7,164.0,0.0,0,1,0,0.0,0,0,0,0,Fluminense
24,2023-08-05,21:00,Série A,Rodada da semana 18,sáb,Em casa,V,2,1,Palmeiras,2.6,1.0,55,77.973,Fábio,4-4-2,Ramon Abatti Abel,Relatório da Partida,,9,4,169.0,0.0,1,1,5,1.0,1,4,0,0,Fluminense
26,2023-08-13,16:00,Série A,Rodada da semana 19,dom,Visitante,D,1,2,Grêmio,1.0,1.2,71,,Nino,4-2-3-1,Rodrigo José Pereira de Lima,Relatório da Partida,,19,7,208.0,1.0,0,0,5,2.0,2,3,0,0,Fluminense
27,2023-08-19,18:30,Série A,Rodada da semana 20,sáb,Em casa,V,3,1,América (MG),1.2,1.4,72,,Nino,4-2-3-1,Flavio Rodrigues de Souza,Relatório da Partida,,19,4,181.0,0.0,0,0,3,1.0,1,2,0,0,Fluminense
29,2023-08-27,18:30,Série A,Rodada da semana 21,dom,Visitante,E,2,2,Ath Paranaense,3.0,0.8,71,23.63,David Braz,3-4-3,Raphael Claus,Relatório da Partida,,23,10,187.0,1.0,0,0,4,2.0,2,2,0,0,Fluminense
31,2023-09-03,16:00,Série A,Rodada da semana 22,dom,Em casa,V,1,0,Fortaleza,0.6,0.9,64,,Felipe Melo,4-4-2,André Luiz Skettino Policarpo Bento,Relatório da Partida,,13,5,196.0,0.0,0,0,5,0.0,0,5,0,0,Fluminense
32,2023-09-16,16:00,Série A,Rodada da semana 23,sáb,Visitante,D,2,4,Vasco da Gama,1.9,1.4,72,,Nino,4-4-2,Raphael Claus,Relatório da Partida,,19,8,175.0,1.0,0,0,4,4.0,4,0,0,0,Fluminense
33,2023-09-20,21:30,Série A,Rodada da semana 24,qua,Em casa,V,1,0,Cruzeiro,0.5,0.7,59,28.985,Nino,4-4-2,Matheus Delgado Candançan,Relatório da Partida,,11,4,212.0,1.0,0,0,2,0.0,0,2,0,0,Fluminense
35,2023-09-30,17:30,Série A,Rodada da semana 25,sáb,Visitante,D,0,3,Cuiabá,0.2,1.2,40,,David Braz,5-4-1,Paulo Zanovelli,Relatório da Partida,,7,2,278.0,0.0,0,0,6,3.0,3,3,0,0,Fluminense
37,2023-10-08,16:00,Série A,Rodada da semana 26,dom,Em casa,D,0,2,Botafogo (RJ),1.1,1.9,66,,Nino,4-1-3-2,Leandro Pedro Vuaden,Relatório da Partida,,19,5,237.0,2.0,0,0,5,2.0,2,3,0,0,Fluminense
38,2023-10-19,21:30,Série A,Rodada da semana 27,qui,Em casa,E,3,3,Corinthians,1.9,2.1,75,35.096,Felipe Melo,4-2-3-1,Paulo Zanovelli,Relatório da Partida,,24,10,210.0,1.0,0,0,3,3.0,3,0,1,1,Fluminense
39,2023-10-22,18:30,Série A,Rodada da semana 28,dom,Visitante,D,0,1,Bragantino,0.5,2.2,58,,André,4-2-3-1,Wilton Pereira Sampaio,Relatório da Partida,,12,5,183.0,1.0,0,0,2,1.0,1,1,1,1,Fluminense
40,2023-10-25,19:00,Série A,Rodada da semana 29,qua,Em casa,V,5,3,Goiás,2.7,0.6,65,,Felipe Melo,4-2-3-1,Leandro Pedro Vuaden,Relatório da Partida,,19,7,171.0,0.0,1,1,4,3.0,3,1,0,0,Fluminense
41,2023-10-28,22:00,Série A,Rodada da semana 30,sáb,Visitante,D,0,2,Atlético Mineiro,0.8,1.2,53,,André,5-4-1,Raphael Claus,Relatório da Partida,,11,3,219.0,2.0,0,0,3,2.0,2,1,0,0,Fluminense
42,2023-10-31,19:00,Série A,Rodada da semana 31,ter,Visitante,D,0,1,Bahia,0.7,0.5,56,,David Braz,4-4-2,Edina Alves Batista,Relatório da Partida,,17,4,223.0,1.0,0,0,5,1.0,1,4,0,0,Fluminense
44,2023-11-08,19:00,Série A,Rodada da semana 33,qua,Visitante,E,0,0,Internacional,0.5,1.1,60,,Nino,4-2-3-1,Rodrigo José Pereira de Lima,Relatório da Partida,,8,4,209.0,0.0,0,0,4,0.0,0,4,0,0,Fluminense
45,2023-11-11,18:30,Série A,Rodada da semana 34,sáb,Visitante,E,1,1,Flamengo,1.4,0.9,58,59.97,Nino,4-2-3-1,Wilton Pereira Sampaio,Relatório da Partida,,13,4,226.0,0.0,0,0,7,1.0,1,6,0,0,Fluminense
46,2023-11-22,21:30,Série A,Rodada da semana 32,qua,Em casa,V,1,0,São Paulo,1.0,0.1,59,,Marcelo,4-2-3-1,André Luiz Skettino Policarpo Bento,Relatório da Partida,,24,8,210.0,0.0,0,0,1,0.0,0,1,0,0,Fluminense
47,2023-11-25,21:00,Série A,Rodada da semana 35,sáb,Em casa,V,2,1,Coritiba,1.9,0.8,64,19.919,Nino,4-4-2,Matheus Delgado Candançan,Relatório da Partida,,21,8,177.0,1.0,0,0,2,1.0,1,1,0,0,Fluminense
48,2023-11-29,19:00,Série A,Rodada da semana 36,qua,Visitante,V,3,0,Santos,1.1,1.5,71,,Nino,4-2-3-1,Anderson Daronco,Relatório da Partida,,9,5,170.0,0.0,0,0,8,0.0,0,8,0,0,Fluminense
49,2023-12-03,16:00,Série A,Rodada da semana 37,dom,Visitante,D,0,1,Palmeiras,0.3,2.0,63,29.986,Fábio,4-4-2,Braulio Machado,Relatório da Partida,,6,2,255.0,0.0,0,0,5,1.0,1,4,0,0,Fluminense
50,2023-12-06,21:30,Série A,Rodada da semana 38,qua,Em casa,D,2,3,Grêmio,2.4,2.4,69,44.19,Nino,4-2-3-1,Raphael Claus,Relatório da Partida,,22,6,213.0,0.0,1,1,5,3.0,3,2,1,1,Fluminense
1,2023-04-15,18:30,Série A,Rodada da semana 1,sáb,Em casa,V,2,0,Goiás,0.8,1.0,44,15.329,Thiago Heleno,4-2-3-1,Rafael Rodrigo Klein,Relatório da Partida,,11,3,170.0,0.0,0,0,2,0,0,2,0,0,Athletico Paranaense
3,2023-04-22,16:00,Série A,Rodada da semana 2,sáb,Visitante,D,0,2,Fluminense,0.6,0.8,38,38.598,Thiago Heleno,4-2-3-1,Paulo Cesar Zanovelli da Silva,Relatório da Partida,,10,1,223.0,1.0,0,0,4,2,2,2,0,0,Athletico Paranaense
4,2023-04-29,21:00,Série A,Rodada da semana 3,sáb,Visitante,D,1,2,Atlético Mineiro,0.6,2.0,41,15.037,Thiago Heleno,4-1-4-1,Ramon Abatti Abel,Relatório da Partida,,8,3,243.0,0.0,0,0,6,2,2,4,0,0,Athletico Paranaense
6,2023-05-07,16:00,Série A,Rodada da semana 4,dom,Em casa,V,2,1,Flamengo,1.0,1.5,40,32.949,Thiago Heleno,4-4-2,Raphael Claus,Relatório da Partida,,10,4,186.0,0.0,0,0,4,1,1,3,1,1,Athletico Paranaense
7,2023-05-10,19:00,Série A,Rodada da semana 5,qua,Visitante,V,2,0,Internacional,1.5,1.0,53,13.537,Thiago Heleno,4-3-3,Bruno Arleu de Araujo,Relatório da Partida,,14,5,194.0,3.0,0,0,3,0,0,3,0,0,Athletico Paranaense
8,2023-05-14,18:30,Série A,Rodada da semana 6,dom,Em casa,V,3,2,Coritiba,2.9,0.4,64,17.608,Thiago Heleno,4-2-3-1,Flavio Rodrigues de Souza,Relatório da Partida,,26,7,172.0,0.0,0,0,3,2,2,1,0,0,Athletico Paranaense
9,2023-05-20,18:30,Série A,Rodada da semana 7,sáb,Visitante,D,0,2,Bragantino,1.1,1.7,40,3.769,Bento,4-2-3-1,Felipe Fernandes de Lima,Relatório da Partida,,14,4,216.0,1.0,0,0,4,2,2,2,0,0,Athletico Paranaense
11,2023-05-27,16:00,Série A,Rodada da semana 8,sáb,Em casa,D,1,2,Grêmio,1.3,0.7,66,25.966,Thiago Heleno,4-2-3-1,Savio Pereira,Relatório da Partida,,16,4,189.0,1.0,0,0,4,2,2,2,0,0,Athletico Paranaense
12,2023-06-03,18:30,Série A,Rodada da semana 9,sáb,Em casa,V,1,0,Botafogo (RJ),0.9,0.6,49,18.684,Pedro Henrique,4-2-3-1,Vinicius Gonçalves Dias Araujo,Relatório da Partida,,16,7,230.0,2.0,0,0,4,0,0,4,0,0,Athletico Paranaense
14,2023-06-11,11:00,Série A,Rodada da semana 10,dom,Visitante,E,2,2,América (MG),0.8,1.9,50,5.902,Thiago Heleno,4-2-3-1,João Vitor Gobi,Relatório da Partida,,9,4,174.0,0.0,0,0,12,2,2,9,1,0,Athletico Paranaense
15,2023-06-21,19:00,Série A,Rodada da semana 11,qua,Visitante,D,1,2,São Paulo,1.2,0.6,44,22.882,Thiago Heleno,4-2-3-1,Savio Pereira,Relatório da Partida,,14,4,260.0,0.0,0,0,5,2,2,3,0,0,Athletico Paranaense
16,2023-06-24,16:00,Série A,Rodada da semana 12,sáb,Em casa,V,1,0,Corinthians,2.7,0.9,35,30.144,Thiago Heleno,3-4-3,Wagner do Nascimento Magalhães,Relatório da Partida,,24,6,162.0,0.0,0,0,3,0,0,3,0,0,Athletico Paranaense
18,2023-07-02,16:00,Série A,Rodada da semana 13,dom,Em casa,E,2,2,Palmeiras,3.5,1.6,54,33.118,Thiago Heleno,3-4-3,Jean Pierre Goncalves Lima,Relatório da Partida,,26,4,188.0,1.0,1,1,5,2,2,2,1,0,Athletico Paranaense
19,2023-07-09,18:30,Série A,Rodada da semana 14,dom,Visitante,D,0,1,Fortaleza,1.2,1.5,47,,Bento,3-4-3,André Luiz Skettino Policarpo Bento,Relatório da Partida,,10,2,181.0,0.0,0,0,6,1,1,5,0,0,Athletico Paranaense
20,2023-07-16,18:30,Série A,Rodada da semana 15,dom,Em casa,V,2,0,Bahia,2.2,1.0,52,17.091,Thiago Heleno,4-2-3-1,Rafael Rodrigo Klein,Relatório da Partida,,15,7,172.0,1.0,0,0,6,0,0,6,0,0,Athletico Paranaense
21,2023-07-23,18:30,Série A,Rodada da semana 16,dom,Visitante,V,2,0,Vasco da Gama,1.3,1.5,44,,Fernandinho,3-4-3,Paulo Cesar Zanovelli da Silva,Relatório da Partida,,8,1,206.0,1.0,1,1,2,0,0,2,0,0,Athletico Paranaense
22,2023-07-29,16:00,Série A,Rodada da semana 17,sáb,Em casa,E,3,3,Cruzeiro,3.0,1.8,53,,Thiago Heleno,4-3-3,Yuri Elino Ferreira da Cruz,Relatório da Partida,,14,5,181.0,2.0,1,1,5,3,3,2,0,0,Athletico Paranaense
24,2023-08-05,16:00,Série A,Rodada da semana 18,sáb,Visitante,E,1,1,Santos,0.2,1.1,36,,Thiago Heleno,4-2-3-1,André Luiz Skettino Policarpo Bento,Relatório da Partida,,3,2,167.0,0.0,0,0,3,1,1,2,1,1,Athletico Paranaense
26,2023-08-15,20:00,Série A,Rodada da semana 19,ter,Em casa,V,2,0,Cuiabá,0.8,1.1,54,18.444,Thiago Heleno,4-2-3-1,Arthur Gomes Rabelo,Relatório da Partida,,12,6,183.0,1.0,0,0,1,0,0,1,0,0,Athletico Paranaense
27,2023-08-21,20:00,Série A,Rodada da semana 20,seg,Visitante,E,1,1,Goiás,1.0,1.0,53,8.325,Fernandinho,3-4-3,Marcelo de Lima Henrique,Relatório da Partida,,14,5,200.0,0.0,0,0,3,1,1,2,0,0,Athletico Paranaense
28,2023-08-27,18:30,Série A,Rodada da semana 21,dom,Em casa,E,2,2,Fluminense,0.8,3.0,29,23.63,Thiago Heleno,4-2-3-1,Raphael Claus,Relatório da Partida,,10,4,196.0,0.0,0,0,10,2,2,8,0,0,Athletico Paranaense
29,2023-09-02,16:00,Série A,Rodada da semana 22,sáb,Em casa,E,1,1,Atlético Mineiro,2.0,0.4,52,,Thiago Heleno,4-3-3,Flavio Rodrigues de Souza,Relatório da Partida,,23,6,175.0,1.0,0,0,7,1,1,6,0,0,Athletico Paranaense
30,2023-09-13,21:30,Série A,Rodada da semana 23,qua,Visitante,V,3,0,Flamengo,2.3,0.5,42,,Thiago Heleno,4-2-3-1,Rafael Rodrigo Klein,Relatório da Partida,,14,8,245.0,0.0,1,1,4,0,0,4,0,0,Athletico Paranaense
31,2023-09-21,19:30,Série A,Rodada da semana 24,qui,Em casa,V,2,1,Internacional,0.9,0.8,44,,Thiago Heleno,4-2-3-1,Wagner do Nascimento Magalhães,Relatório da Partida,,15,6,148.0,1.0,0,0,4,1,1,3,0,0,Athletico Paranaense
