,Data,Horário,Camp.,Rodada,Dia,Local,Resultado,GP,GC_x,Oponente,xG,xGA,Posse,Público,Capitão,Formação,Árbitro,Relatório da Partida,Notas,TC,CaG,Dist,FK,PB,PT_x,CaGC,GC_y,GC_y,Defesas,PT_y,GPC,Time
44,2023-11-08,21:30,Série A,Rodada da semana 33,qua,Visitante,D,0,3,Flamengo,1.0,1.4,49,64.59,Gustavo Gómez,3-4-1-2,Rodrigo José Pereira de Lima,Relatório da Partida,,12,1,180.0,1.0,0,0,6,3,3,3,0,0,Palmeiras
45,2023-11-11,21:00,Série A,Rodada da semana 34,sáb,Em casa,V,3,0,Internacional,1.7,0.7,39,,Marcos Rocha,3-4-1-2,Paulo Zanovelli,Relatório da Partida,,18,10,217.0,0.0,0,0,5,0,0,5,0,0,Palmeiras
46,2023-11-26,18:30,Série A,Rodada da semana 35,dom,Visitante,E,2,2,Fortaleza,0.8,1.8,62,39.504,Gustavo Gómez,3-4-1-2,André Luiz Skettino Policarpo Bento,Relatório da Partida,,13,5,209.0,1.0,0,0,7,2,2,5,0,0,Palmeiras
47,2023-11-29,21:30,Série A,Rodada da semana 36,qua,Em casa,V,4,0,América (MG),3.2,0.1,46,29.717,Marcos Rocha,4-2-3-1,Wilton Pereira Sampaio,Relatório da Partida,,25,12,164.0,1.0,0,0,1,0,0,1,0,0,Palmeiras
48,2023-12-03,16:00,Série A,Rodada da semana 37,dom,Em casa,V,1,0,Fluminense,2.0,0.3,37,29.986,Gustavo Gómez,3-4-1-2,Braulio Machado,Relatório da Partida,,22,5,202.0,0.0,0,0,2,0,0,2,0,0,Palmeiras
49,2023-12-06,21:30,Série A,Rodada da semana 38,qua,Visitante,E,1,1,Cruzeiro,1.4,1.6,44,44.19,Gustavo Gómez,3-4-1-2,Anderson Daronco,Relatório da Partida,,8,5,147.0,0.0,0,0,6,1,1,5,0,0,Palmeiras
0,2023-04-16,18:30,Série A,Rodada da semana 1,dom,Em casa,V,1,0,Santos,1.6,1.2,45,13.997,Walter Kannemann,4-2-3-1,Wilton Sampaio,Relatório da Partida,,16,6,233.0,1.0,0,1,4,0.0,0,4,0,0,Gremio
1,2023-04-22,21:00,Série A,Rodada da semana 2,sáb,Visitante,D,0,1,Cruzeiro,0.8,1.5,51,21.605,Walter Kannemann,4-2-3-1,Flavio Rodrigues de Souza,Relatório da Partida,,11,7,211.0,1.0,0,0,6,1.0,1,5,0,0,Gremio
2,2023-04-30,17:30,Série A,Rodada da semana 3,dom,Visitante,V,2,1,Cuiabá,1.7,1.2,50,21.385,Walter Kannemann,4-2-3-1,Bruno Arleu de Araujo,Relatório da Partida,,12,6,158.0,0.0,0,0,4,1.0,1,3,0,0,Gremio
3,2023-05-07,18:30,Série A,Rodada da semana 4,dom,Em casa,E,3,3,Bragantino,1.7,1.8,42,23.76,Luis Suárez,4-2-3-1,Paulo Cesar Zanovelli da Silva,Relatório da Partida,,10,2,169.0,0.0,1,1,7,3.0,3,4,0,0,Gremio
